State,name,party,district,phone,url,twitter,facebook,youtube,instagram
Alabama,Barry Moore,R,AL-01,202-225-2901,https://barrymoore.house.gov,RepBarryMoore,RepBarryMoore,,
Alabama,Shomari Figures,D,AL-02,202-225-4931,https://figures.house.gov,repscfigures,congressman.shomari.figures,,repscfigures
Alabama,Mike Rogers,R,AL-03,202-225-3261,https://mikerogers.house.gov,RepMikeRogersAL,CongressmanMikeDRogers,MikeRogersAL03,repmikerogersal
Alabama,Robert Aderholt,R,AL-04,202-225-4876,https://aderholt.house.gov,Robert_Aderholt,RobertAderholt,RobertAderholt,
Alabama,Dale Strong,R,AL-05,202-225-4801,https://strong.house.gov,RepDaleStrong,repdalestrong,,repdalestrong
Alabama,Gary Palmer,R,AL-06,202-225-4921,https://palmer.house.gov,USRepGaryPalmer,CongressmanGaryPalmer,,repgarypalmer
Alabama,Terri Sewell,D,AL-07,202-225-2665,https://sewell.house.gov,RepTerriSewell,RepSewell,RepSewell,repterriasewell
Alabama,Tommy Tuberville,R,Senate,202-224-4124,https://www.tuberville.senate.gov,SenTuberville,RogerMarshallMD,,sentuberville
Alabama,Katie Britt,R,Senate,202-224-5744,https://www.britt.senate.gov,SenKatieBritt,senkatiebritt,UCbrYQF8n5ftTPqn8ZNo5vYw,senkatiebritt
Alaska,Nicholas Begich,R,AK-AL,202-225-5765,https://begich.house.gov,repnickbegich,RepNickBegich,,RepNickBegich
Alaska,Lisa Murkowski,R,Senate,202-224-6665,https://www.murkowski.senate.gov,LisaMurkowski,SenLisaMurkowski,senatormurkowski,senlisamurkowski
Alaska,Dan Sullivan,R,Senate,202-224-3004,https://www.sullivan.senate.gov,SenDanSullivan,SenDanSullivan,,sen_dansullivan
American Samoa,Aumua Amata Radewagen,R,AS-AL,202-225-8577,https://radewagen.house.gov,RepAmata,aumuaamata,,
Arizona,David Schweikert,R,AZ-01,202-225-2190,https://schweikert.house.gov,RepDavid,repdavidschweikert,RepDavidSchweikert,repdavid
Arizona,Eli Crane,R,AZ-02,202-225-3361,https://crane.house.gov,RepEliCrane,100088851021670,@rep.elicrane,
Arizona,Yassamin Ansari,D,AZ-03,202-225-4065,https://ansari.house.gov,RepYassAnsari,RepYassAnsari,,RepYassAnsari
Arizona,Greg Stanton,D,AZ-04,202-225-9888,https://stanton.house.gov,RepGregStanton,repgregstanton,,repgregstanton
Arizona,Andy Biggs,R,AZ-05,202-225-2635,https://biggs.house.gov,RepAndyBiggsAZ,RepAndyBiggs,,repandybiggs
Arizona,Juan Ciscomani,R,AZ-06,202-225-2542,https://ciscomani.house.gov,RepCiscomani,100089186535085,UCD329AYGX7YnMMSUaTKWHwA,repjuanciscomani
Arizona,Abraham Hamadeh,R,AZ-08,202-225-4576,https://hamadeh.house.gov,,,,
Arizona,Paul Gosar,R,AZ-09,202-225-2315,https://gosar.house.gov,RepGosar,repgosar,repgosar,REPGOSAR
Arizona,Ruben Gallego,D,Senate,202-224-4521,https://www.gallego.senate.gov,RepRubenGallego,RepRubenGallego,,reprubengallego
Arizona,Mark Kelly,D,Senate,202-224-2235,https://www.kelly.senate.gov,SenMarkKelly,SenMarkKelly,SenMarkKelly,senmarkkelly
Arkansas,Eric Crawford,R,AR-01,202-225-4076,https://crawford.house.gov,RepRickCrawford,RepRickCrawford,RepRickCrawford,reprickcrawford
Arkansas,J. Hill,R,AR-02,202-225-2506,https://hill.house.gov,RepFrenchHill,RepFrenchHill,,repfrenchhill
Arkansas,Steve Womack,R,AR-03,202-225-4301,https://womack.house.gov,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,rep_stevewomack
Arkansas,Bruce Westerman,R,AR-04,202-225-3772,https://westerman.house.gov,RepWesterman,RepWesterman,,
Arkansas,John Boozman,R,Senate,202-224-4843,https://www.boozman.senate.gov/public,JohnBoozman,JohnBoozman,BoozmanPressOffice,johnboozman
Arkansas,Tom Cotton,R,Senate,202-224-2353,https://www.cotton.senate.gov,SenTomCotton,SenatorTomCotton,RepTomCotton,
California,Doug LaMalfa,R,CA-01,202-225-3076,https://lamalfa.house.gov,RepLaMalfa,RepLaMalfa,RepLaMalfa,repdouglamalfa
California,Jared Huffman,D,CA-02,202-225-5161,https://huffman.house.gov,RepHuffman,RepHuffman,rephuffman,rephuffman
California,Kevin Kiley,R,CA-03,202-225-2523,https://kiley.house.gov,RepKiley,100089382125341,@repkevinkiley,
California,Mike Thompson,D,CA-04,202-225-3311,https://mikethompson.house.gov,RepThompson,RepMikeThompson,CongressmanMThompson,
California,Tom McClintock,R,CA-05,202-225-2511,https://mcclintock.house.gov,RepMcClintock,81125319109,McClintockCA04,repmcclintock
California,Ami Bera,D,CA-06,202-225-5716,https://bera.house.gov,RepBera,RepAmiBera,repamibera,repbera
California,Doris Matsui,D,CA-07,202-225-7163,https://matsui.house.gov,DorisMatsui,doris.matsui,RepDorisMatsui,repdorismatsui
California,John Garamendi,D,CA-08,202-225-1880,https://garamendi.house.gov,RepGaramendi,repgaramendi,garamendiCA10,repgaramendi
California,Josh Harder,D,CA-09,202-225-4540,https://harder.house.gov,RepJoshHarder,,,
California,Mark DeSaulnier,D,CA-10,202-225-2095,https://desaulnier.house.gov,RepDeSaulnier,RepMarkDeSaulnier,,repdesaulnier
California,Nancy Pelosi,D,CA-11,202-225-4965,https://pelosi.house.gov,SpeakerPelosi,NancyPelosi,nancypelosi,
California,Lateefah Simon,D,CA-12,202-225-2661,https://simon.house.gov,RepLSimon,RepLSimon,,RepLSimon
California,Adam Gray,D,CA-13,202-225-1947,https://gray.house.gov,RepAdamGrayCA,repadamgrayca,,repadamgrayca
California,Eric Swalwell,D,CA-14,202-225-5065,https://swalwell.house.gov,RepSwalwell,CongressmanEricSwalwell,ericswalwell,repswalwell
California,Kevin Mullin,D,CA-15,202-225-3531,https://kevinmullin.house.gov,RepKevinMullin,CongressmanKevinMullin,UCAenuXjUZagZyD4HQL7_2ZA,repkevinmullin
California,Sam Liccardo,D,CA-16,202-225-8104,https://liccardo.house.gov,repliccardo,,,repliccardo
California,Ro Khanna,D,CA-17,202-225-2631,https://khanna.house.gov,RepRoKhanna,RepRoKhanna,,reprokhanna
California,Zoe Lofgren,D,CA-18,202-225-3072,https://lofgren.house.gov,RepZoeLofgren,zoelofgren,RepZoeLofgren,
California,Jimmy Panetta,D,CA-19,202-225-2861,https://panetta.house.gov,RepJimmyPanetta,RepJimmyPanetta,,repjimmypanetta
California,Vince Fong,R,CA-20,202-225-2915,https://fong.house.gov,RepVinceFong,,,repvincefong
California,Jim Costa,D,CA-21,202-225-3341,https://costa.house.gov,RepJimCosta,RepJimCosta,RepJimCostaCA20,
California,David Valadao,R,CA-22,202-225-4695,https://valadao.house.gov,RepDavidValadao,CongressmanDavidValadao,,
California,Jay Obernolte,R,CA-23,202-225-5861,https://obernolte.house.gov,JayObernolte,,,
California,Salud Carbajal,D,CA-24,202-225-3601,https://carbajal.house.gov,RepCarbajal,repsaludcarbajal,repcarbajal,repcarbajal
California,Raul Ruiz,D,CA-25,202-225-5330,https://ruiz.house.gov,RepRaulRuizMD,CongressmanRaulRuizMD,repraulruiz,
California,Julia Brownley,D,CA-26,202-225-5811,https://juliabrownley.house.gov,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,RepBrownley
California,George Whitesides,D,CA-27,202-225-1956,https://whitesides.house.gov,Rep_Whitesides,repwhitesides,,repwhitesides
California,Judy Chu,D,CA-28,202-225-5464,https://chu.house.gov,RepJudyChu,RepJudyChu,RepJudyChu,repjudychu
California,Luz Rivas,D,CA-29,202-225-6131,https://rivas.house.gov,RepLuzRivas,congresswomanluzrivas,,RepLuzRivas
California,Laura Friedman,D,CA-30,202-225-4176,https://friedman.house.gov,RepFriedmanCA,RepLauraFriedman,,RepLauraFriedman
California,Gilbert Cisneros,D,CA-31,202-225-5256,https://cisneros.house.gov,,RepGilCisneros,,repgilcisneros
California,Brad Sherman,D,CA-32,202-225-5911,https://sherman.house.gov,BradSherman,63158229861,shermanca27,congressmansherman
California,Pete Aguilar,D,CA-33,202-225-3201,https://aguilar.house.gov,RepPeteAguilar,reppeteaguilar,,
California,Jimmy Gomez,D,CA-34,202-225-6235,https://gomez.house.gov,RepJimmyGomez,RepJimmyGomez,UCOmm091WM6D01xTdzsWNvbQ,repjimmygomez
California,Norma Torres,D,CA-35,202-225-6161,https://torres.house.gov,NormaJTorres,RepNormaTorres,,repnormatorres
California,Ted Lieu,D,CA-36,202-225-3976,https://lieu.house.gov,RepTedLieu,RepTedLieu,,RepTedLieu
California,Sydney Kamlager-Dove,D,CA-37,202-225-7084,https://kamlager-dove.house.gov,RepKamlagerDove,RepKamlagerDove,,rep_kamlagerdove
California,Linda Sánchez,D,CA-38,202-225-6676,https://lindasanchez.house.gov,RepLindaSanchez,CongresswomanLindaSanchez,LindaTSanchez,replindasanchez
California,Mark Takano,D,CA-39,202-225-2305,https://takano.house.gov,RepMarkTakano,RepMarkTakano,RepMarkTakano,repmarktakano
California,Young Kim,R,CA-40,202-225-4111,https://youngkim.house.gov,RepYoungKim,RepYoungKim,@RepYoungKim,repyoungkim
California,Ken Calvert,R,CA-41,202-225-1986,https://calvert.house.gov,KenCalvert,70063393423,RepKenCalvert,repkencalvert
California,Robert Garcia,D,CA-42,202-225-7924,https://robertgarcia.house.gov,RepRobertGarcia,reprobertgarcia,,RepRobertGarcia
California,Maxine Waters,D,CA-43,202-225-2201,https://waters.house.gov,RepMaxineWaters,MaxineWaters,MaxineWaters,repmaxinewaters
California,Nanette Barragán,D,CA-44,202-225-8220,https://barragan.house.gov,RepBarragan,CongresswomanBarragan,,repbarragan
California,Derek Tran,D,CA-45,202-225-2415,https://tran.house.gov,,,,
California,J. Correa,D,CA-46,202-225-2965,https://correa.house.gov,RepLouCorrea,RepLouCorrea,,reploucorrea
California,Dave Min,D,CA-47,202-225-5611,https://min.house.gov,,,,
California,Darrell Issa,R,CA-48,202-225-5672,https://issa.house.gov,repdarrellissa,congressmandarrellissa,,
California,Mike Levin,D,CA-49,202-225-3906,https://levin.house.gov,RepMikeLevin,RepMikeLevin,UCYFDRohyZgoPy5rXOaVZO-A,RepMikeLevin
California,Scott Peters,D,CA-50,202-225-0508,https://scottpeters.house.gov,RepScottPeters,RepScottPeters,,repscottpeters
California,Sara Jacobs,D,CA-51,202-225-2040,https://sarajacobs.house.gov,RepSaraJacobs,RepSaraJacobs,,repsarajacobs
California,Juan Vargas,D,CA-52,202-225-8045,https://vargas.house.gov,RepJuanVargas,RepJuanVargas,RepJuanVargas,repjuanvargas
California,Adam Schiff,D,Senate,202-224-3841,https://www.schiff.senate.gov,,SenAdamSchiff,adamschiff,SenAdamSchiff
California,Alejandro Padilla,D,Senate,202-224-3553,https://www.padilla.senate.gov,SenAlexPadilla,SenAlexPadilla,,SenAlexPadilla
Colorado,Diana DeGette,D,CO-01,202-225-4431,https://degette.house.gov,RepDianaDeGette,DianaDeGette,RepDianaDeGette,
Colorado,Joe Neguse,D,CO-02,202-225-2161,https://neguse.house.gov,RepJoeNeguse,RepJoeNeguse,,
Colorado,Jeff Hurd,R,CO-03,202-225-4676,https://hurd.house.gov,RepJeffHurd,61571570223582,@RepJeffHurd03,repjeffhurd
Colorado,Lauren Boebert,R,CO-04,202-225-4761,https://boebert.house.gov,RepBoebert,RepBoebert,,
Colorado,Jeff Crank,R,CO-05,202-225-4422,https://crank.house.gov,RepJeffCrank,RepJeffCrank,,repjeffcrank
Colorado,Jason Crow,D,CO-06,202-225-7882,https://crow.house.gov,RepJasonCrow,RepJasonCrow,,
Colorado,Brittany Pettersen,D,CO-07,202-225-2645,https://pettersen.house.gov,reppettersen,repbrittanypettersen,,reppettersen
Colorado,Gabe Evans,R,CO-08,202-225-5625,https://gabeevans.house.gov,repgabeevans,RepGabeEvans,,RepGabeEvans
Colorado,Michael Bennet,D,Senate,202-224-5852,https://www.bennet.senate.gov,SenatorBennet,senbennetco,SenatorBennet,SenBennetCO
Colorado,John Hickenlooper,D,Senate,202-224-5941,https://www.hickenlooper.senate.gov,SenatorHick,SenatorHick,UCU6pcq-AZA9wnmIPBj6ePwQ,senatorhick
Connecticut,John Larson,D,CT-01,202-225-2265,https://larson.house.gov,RepJohnLarson,RepJohnLarson,RepJohnLarson,RepJohnBLarson
Connecticut,Joe Courtney,D,CT-02,202-225-2076,https://courtney.house.gov,RepJoeCourtney,joecourtney,repcourtney,repjoecourtney
Connecticut,Rosa DeLauro,D,CT-03,202-225-3661,https://delauro.house.gov,RosaDeLauro,CongresswomanRosaDeLauro,rosadelauro,
Connecticut,James Himes,D,CT-04,202-225-5541,https://himes.house.gov,jahimes,CongressmanJimHimes,congressmanhimes,repjimhimes
Connecticut,Jahana Hayes,D,CT-05,202-225-4476,https://hayes.house.gov,RepJahanaHayes,RepJahanaHayes,UCXngpVME5LZjcdXxZQxSDQA,repjahanahayes
Connecticut,Richard Blumenthal,D,Senate,202-224-2823,https://www.blumenthal.senate.gov,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,senblumenthal
Connecticut,Christopher Murphy,D,Senate,202-224-4041,https://www.murphy.senate.gov,SenMurphyOffice,chrismurphyct,senchrismurphy,senchrismurphy
Delaware,Sarah McBride,D,DE-AL,202-225-4165,https://mcbride.house.gov,,CongresswomanSarahMcBride,,congresswomansarahmcbride
Delaware,Christopher Coons,D,Senate,202-224-5042,https://www.coons.senate.gov,ChrisCoons,senatorchriscoons,senatorchriscoons,senatorchriscoons
Delaware,Lisa Blunt Rochester,D,Senate,202-224-2441,https://www.bluntrochester.senate.gov,RepLBR,Rep.BluntRochester,,senlbr
District of Columbia,Eleanor Norton,D,DC-AL,202-225-8050,https://norton.house.gov,EleanorNorton,CongresswomanNorton,EleanorHNorton,congresswomannorton
Florida,Jimmy Patronis,R,FL-01,202-225-4136,https://patronis.house.gov/,,,,
Florida,Neal Dunn,R,FL-02,202-225-5235,https://dunn.house.gov,DrNealDunnFL2,drnealdunnfl2,,
Florida,Katherine Cammack,R,FL-03,202-225-5744,https://cammack.house.gov,RepKatCammack,RepKatCammack,,repkatcammack
Florida,Aaron Bean,R,FL-04,202-225-0123,https://bean.house.gov,RepAaronBean,100089355874563,,RepAaronBean
Florida,John Rutherford,R,FL-05,202-225-2501,https://rutherford.house.gov,RepRutherfordFL,RepRutherfordFL,Reprutherfordfl,reprutherfordfl
Florida,Randall Fine,R,FL-06,202-225-2706,https://fine.house.gov/,,,,
Florida,Cory Mills,R,FL-07,202-225-4035,https://mills.house.gov,RepMillsPress,100089218152197,,repcorymills
Florida,Mike Haridopolos,R,FL-08,202-225-3671,https://haridopolos.house.gov,repharidopolos,,,
Florida,Darren Soto,D,FL-09,202-225-9889,https://soto.house.gov,RepDarrenSoto,CongressmanDarrenSoto,repdarrensoto,RepDarrenSoto
Florida,Maxwell Frost,D,FL-10,202-225-2176,https://frost.house.gov,RepMaxwellFrost,RepMaxwellFrost,,RepMaxwellFrost
Florida,Daniel Webster,R,FL-11,202-225-1002,https://webster.house.gov,RepWebster,RepWebster,repdanwebster,
Florida,Gus Bilirakis,R,FL-12,202-225-5755,https://bilirakis.house.gov,RepGusBilirakis,GusBilirakis,RepGusBilirakis,gusbilirakis
Florida,Anna Luna,R,FL-13,202-225-5961,https://luna.house.gov,RepLuna,,@RepLuna,repluna
Florida,Kathy Castor,D,FL-14,202-225-3376,https://castor.house.gov,USRepKCastor,USRepKathyCastor,RepKathyCastor,usrepkathycastor
Florida,Laurel Lee,R,FL-15,202-225-5626,https://laurellee.house.gov,RepLaurelLee,RepLaurelLee,,replaurellee
Florida,Vern Buchanan,R,FL-16,202-225-5015,https://buchanan.house.gov,VernBuchanan,CongressmanBuchanan,vernbuchanan,repvern
Florida,W. Steube,R,FL-17,202-225-5792,https://steube.house.gov,RepGregSteube,RepGregSteube,@RepGregSteube,repgregsteube
Florida,C. Franklin,R,FL-18,202-225-1252,https://franklin.house.gov,RepFranklin,RepFranklin,@RepFranklin,RepFranklin
Florida,Byron Donalds,R,FL-19,202-225-2536,https://donalds.house.gov,RepDonaldsPress,,UCjy0W7sksMz37IYY27tAZNQ,byrondonalds
Florida,Sheila Cherfilus-McCormick,D,FL-20,202-225-1313,https://cherfilus-mccormick.house.gov,,congresswomanSCM,,
Florida,Brian Mast,R,FL-21,202-225-3026,https://mast.house.gov,RepBrianMast,repbrianmast,repbrianmast,RepBrianMast
Florida,Lois Frankel,D,FL-22,202-225-9890,https://frankel.house.gov,RepLoisFrankel,RepLoisFrankel,reploisfrankel,reploisfrankel
Florida,Jared Moskowitz,D,FL-23,202-225-3001,https://moskowitz.house.gov,RepMoskowitz,RepMoskowitz,@RepMoskowitz,repmoskowitz
Florida,Frederica Wilson,D,FL-24,202-225-4506,https://wilson.house.gov,RepWilson,RepWilson,repfredericawilson,repwilson
Florida,Debbie Wasserman Schultz,D,FL-25,202-225-7931,https://wassermanschultz.house.gov,RepDWStweets,RepDWS,RepWassermanSchultz,RepDWSTweets
Florida,Mario Diaz-Balart,R,FL-26,202-225-4211,https://mariodiazbalart.house.gov,MarioDB,mdiazbalart,MarioDiazBalart,repmariodb
Florida,Maria Salazar,R,FL-27,202-225-3931,https://salazar.house.gov,RepMariaSalazar,RepMariaSalazar,,repmariasalazar
Florida,Carlos Gimenez,R,FL-28,202-225-2778,https://gimenez.house.gov,RepCarlos,RepCarlosGimenez,,repcarlosfl
Florida,Rick Scott,R,Senate,202-224-5274,https://www.rickscott.senate.gov,SenRickScott,RickScottSenOffice,,flsenrickscott
Florida,Ashley Moody,R,Senate,202-224-3041,https://www.moody.senate.gov,,,,
Georgia,Earl Carter,R,GA-01,202-225-5831,https://buddycarter.house.gov,RepBuddyCarter,congressmanbuddycarter,,repbuddycarter
Georgia,Sanford Bishop,D,GA-02,202-225-3631,https://bishop.house.gov,SanfordBishop,sanfordbishop,RepSanfordBishop,
Georgia,Brian Jack,R,GA-03,202-225-5901,https://jack.house.gov,RepBrianJack,RepBrianJack,,repbrianjack
Georgia,Henry Johnson,D,GA-04,202-225-1605,https://hankjohnson.house.gov,RepHankJohnson,115356957005,RepHankJohnson,rephankjohnson
Georgia,Nikema Williams,D,GA-05,202-225-3801,https://nikemawilliams.house.gov,RepNikema,RepNikemaWilliams,,repnikema
Georgia,Lucy McBath,D,GA-06,202-225-4501,https://mcbath.house.gov,RepLucyMcBath,RepLucyMcBath,,replucymcbath
Georgia,Rich McCormick,R,GA-07,202-225-4272,https://mccormick.house.gov,RepMcCormick,100089135203690,,reprichmccormick
Georgia,Austin Scott,R,GA-08,202-225-6531,https://austinscott.house.gov,AustinScottGA08,RepAustinScott,RepAustinScott,
Georgia,Andrew Clyde,R,GA-09,202-225-9893,https://clyde.house.gov,Rep_Clyde,RepresentativeClyde,UC-o-UOnLuu8pZxZpShG4s7A,repclyde
Georgia,Mike Collins,R,GA-10,202-225-4101,https://collins.house.gov,RepMikeCollins,RepMikeCollinsGA,,repmikecollins
Georgia,Barry Loudermilk,R,GA-11,202-225-2931,https://loudermilk.house.gov,RepLoudermilk,reploudermilk,,RepLoudermilk
Georgia,Rick Allen,R,GA-12,202-225-2823,https://allen.house.gov,RepRickAllen,CongressmanRickAllen,,Rep_RickAllen
Georgia,David Scott,D,GA-13,202-225-2939,https://davidscott.house.gov,RepDavidScott,113303673339,RepDavidScott,RepDavidScott
Georgia,Marjorie Greene,R,GA-14,202-225-5211,https://greene.house.gov,RepMTG,RepMTGreene,,repmtg
Georgia,Jon Ossoff,D,Senate,202-224-3521,https://www.ossoff.senate.gov,SenOssoff,SenOssoff,,jonossoff
Georgia,Raphael Warnock,D,Senate,202-224-3643,https://www.warnock.senate.gov,SenatorWarnock,SenatorWarnock,senatorwarnock,
Guam,James (Jim) Moylan,R,GU-AL,202-225-1188,https://moylan.house.gov,JMoylanforGuam,100089324793869,,repjamesmoylan
Hawaii,Ed Case,D,HI-01,202-225-2726,https://case.house.gov,RepEdCase,RepEdCase,RepEdCase,repedcase
Hawaii,Jill Tokuda,D,HI-02,202-225-4906,https://tokuda.house.gov,RepJillTokuda,RepJillTokuda,UCBXwZrEZWQiSXebInVuYuvw,repjilltokuda
Hawaii,Mazie Hirono,D,Senate,202-224-6361,https://www.hirono.senate.gov,MazieHirono,senatorhirono,CongresswomanHirono,maziehirono
Hawaii,Brian Schatz,D,Senate,202-224-3934,https://www.schatz.senate.gov,SenBrianSchatz,SenBrianSchatz,senbrianschatz,senbrianschatz
Idaho,Russ Fulcher,R,ID-01,202-225-6611,https://fulcher.house.gov,RepRussFulcher,RepRussFulcher,UCx2AS0O5frzPB8D6TqJ3Mqg,RepRussFulcher
Idaho,Michael Simpson,R,ID-02,202-225-5531,https://simpson.house.gov,CongMikeSimpson,96007744606,CongMikeSimpson,congressmanmikesimpson
Idaho,James Risch,R,Senate,202-224-2752,https://www.risch.senate.gov,SenatorRisch,senatorjimrisch,SenatorJamesRisch,
Idaho,Michael Crapo,R,Senate,202-224-6142,https://www.crapo.senate.gov,MikeCrapo,mikecrapo,senatorcrapo,mikecrapo
Illinois,Jonathan Jackson,D,IL-01,202-225-4372,https://jonathanjackson.house.gov,,repjackson,,repjackson
Illinois,Robin Kelly,D,IL-02,202-225-0773,https://robinkelly.house.gov,RepRobinKelly,reprobinkelly,,reprobinkelly
Illinois,Delia Ramirez,D,IL-03,202-225-5701,https://ramirez.house.gov,repdeliaramirez,Repdeliaramirez,,repdeliaramirez
Illinois,Jesús García,D,IL-04,202-225-8203,https://chuygarcia.house.gov,RepChuyGarcia,RepChuyGarcia,,
Illinois,Mike Quigley,D,IL-05,202-225-4061,https://quigley.house.gov,RepMikeQuigley,repmikequigley,RepMikeQuigley,repmikequigley
Illinois,Sean Casten,D,IL-06,202-225-4561,https://casten.house.gov,RepCasten,RepSeanCasten,,repseancasten
Illinois,Danny Davis,D,IL-07,202-225-5006,https://davis.house.gov,RepDannyDavis,CongressmanDKDavis,dannykdavis07,
Illinois,Raja Krishnamoorthi,D,IL-08,202-225-3711,https://krishnamoorthi.house.gov,CongressmanRaja,congressmanraja,,congressmanraja
Illinois,Janice Schakowsky,D,IL-09,202-225-2111,https://schakowsky.house.gov,JanSchakowsky,janschakowsky,repschakowsky,JanSchakowsky
Illinois,Bradley Schneider,D,IL-10,202-225-4835,https://schneider.house.gov,RepSchneider,CongressmanBradSchneider,RepBradSchneider,repschneider
Illinois,Bill Foster,D,IL-11,202-225-3515,https://foster.house.gov,RepBillFoster,CongressmanBillFoster,RepBillFoster,
Illinois,Mike Bost,R,IL-12,202-225-5661,https://bost.house.gov,RepBost,RepBost,,
Illinois,Nicole (Nikki) Budzinski,D,IL-13,202-225-2371,https://budzinski.house.gov,RepNikkiB,RepNikkiBudzinski,UCp0Ykb-qUGx3ekTH9MIEK-w,repnikki
Illinois,Lauren Underwood,D,IL-14,202-225-2976,https://underwood.house.gov,RepUnderwood,,,
Illinois,Mary Miller,R,IL-15,202-225-5271,https://marymiller.house.gov,RepMaryMiller,RepMaryMiller,,
Illinois,Darin LaHood,R,IL-16,202-225-6201,https://lahood.house.gov,RepLaHood,replahood,,
Illinois,Eric Sorensen,D,IL-17,202-225-5905,https://sorensen.house.gov,RepEricSorensen,,,repericsorensen
Illinois,Richard Durbin,D,Senate,202-224-2152,https://www.durbin.senate.gov,SenatorDurbin,SenatorDurbin,SenatorDurbin,
Illinois,Tammy Duckworth,D,Senate,202-224-2854,https://www.duckworth.senate.gov,SenDuckworth,SenDuckworth,repduckworth,SenDuckworth
Indiana,Frank Mrvan,D,IN-01,202-225-2461,https://mrvan.house.gov,RepMrvan,RepMrvan,,
Indiana,Rudy Yakym,R,IN-02,202-225-3915,https://yakym.house.gov,RepRudyYakym,RepRudyYakym,,
