State,name,party,district,phone,url,twitter,facebook,youtube,instagram
Indiana,Marlin Stutzman,R,IN-03,202-225-4436,https://stutzman.house.gov,RepStutzman,repstutzman,,repstutzman
Indiana,James Baird,R,IN-04,202-225-5037,https://baird.house.gov,RepJimBaird,RepJimBaird,UCAe6fGhotC9J9tR_QONYzFA,
Indiana,Victoria Spartz,R,IN-05,202-225-2276,https://spartz.house.gov,RepSpartz,RepSpartz,,
Indiana,Jefferson Shreve,R,IN-06,202-225-3021,https://shreve.house.gov,repshreve,RepJeffersonShreve,,repshreve
Indiana,André Carson,D,IN-07,202-225-4011,https://carson.house.gov,RepAndreCarson,CongressmanAndreCarson,repandrecarson,repandrecarson
Indiana,Mark Messmer,R,IN-08,202-225-4636,https://messmer.house.gov,,CongressmanMessmer,,HouseRepublicans
Indiana,Erin Houchin,R,IN-09,202-225-5315,https://houchin.house.gov,RepHouchin,RepHouchin,,rephouchin
Indiana,Todd Young,R,Senate,202-224-5623,https://www.young.senate.gov,SenToddYoung,SenatorToddYoung,RepToddYoung,sentoddyoung
Indiana,Jim Banks,R,Senate,202-224-4814,https://www.banks.senate.gov,RepJimBanks,RepJimBanks,,repjimbanks
Iowa,Mariannette Miller-Meeks,R,IA-01,202-225-6576,https://millermeeks.house.gov,RepMMM,RepMMM,,
Iowa,Ashley Hinson,R,IA-02,202-225-2911,https://hinson.house.gov,RepAshleyHinson,RepAshleyHinson,,
Iowa,Zachary (Zach) Nunn,R,IA-03,202-225-5476,https://nunn.house.gov,ZachNunn,RepZachNunn,UCHcM0qd2GQ2CbOHSGZ06rrA,repzachnunn
Iowa,Randy Feenstra,R,IA-04,202-225-4426,https://feenstra.house.gov,RepFeenstra,repfeenstra,,
Iowa,Charles Grassley,R,Senate,202-224-3744,https://www.grassley.senate.gov,ChuckGrassley,grassley,senchuckgrassley,senatorchuckgrassley
Iowa,Joni Ernst,R,Senate,202-224-3254,https://www.ernst.senate.gov,SenJoniErnst,senjoniernst,,senjoniernst
Kansas,Tracey Mann,R,KS-01,202-225-2715,https://mann.house.gov,RepMann,Congressman-Tracey-Mann-105522931489227,,reptraceymann
Kansas,Derek Schmidt,R,KS-02,202-225-6601,https://schmidt.house.gov,repderekschmidt,repderekschmidt,,repderekschmidt
Kansas,Sharice Davids,D,KS-03,202-225-2865,https://davids.house.gov,RepDavids,,,
Kansas,Ron Estes,R,KS-04,202-225-6216,https://estes.house.gov,RepRonEstes,RepRonEstes,,RepRonEstes
Kansas,Jerry Moran,R,Senate,202-224-6521,https://www.moran.senate.gov,JerryMoran,jerrymoran,senatorjerrymoran,senjerrymoran
Kansas,Roger Marshall,R,Senate,202-224-4774,https://www.marshall.senate.gov,SenatorMarshall,RogerMarshallMD,UCR3nOFMqBB-kRpKFwgapMaQ,senrogermarshall
Kentucky,James Comer,R,KY-01,202-225-3115,https://comer.house.gov,RepJamesComer,congressmancomer,,congressmancomer
Kentucky,Brett Guthrie,R,KY-02,202-225-3501,https://guthrie.house.gov,RepGuthrie,CongressmanGuthrie,BrettGuthrie,repguthrie
Kentucky,Morgan McGarvey,D,KY-03,202-225-5401,https://mcgarvey.house.gov,RepMcGarvey,RepMcGarvey,,repmcgarvey
Kentucky,Thomas Massie,R,KY-04,202-225-3465,https://massie.house.gov,RepThomasMassie,RepThomasMassie,repthomasmassie,repthomasmassie
Kentucky,Harold Rogers,R,KY-05,202-225-4601,https://halrogers.house.gov,RepHalRogers,CongressmanHalRogers,RepHalRogers,rephalrogers
Kentucky,Garland Barr,R,KY-06,202-225-4706,https://barr.house.gov,RepAndyBarr,RepAndyBarr,RepAndyBarr,RepAndyBarr
Kentucky,Mitch McConnell,R,Senate,202-224-2541,https://www.mcconnell.senate.gov,McConnellPress,mitchmcconnell,,mcconnellpress
Kentucky,Rand Paul,R,Senate,202-224-4343,https://www.paul.senate.gov,SenRandPaul,SenatorRandPaul,SenatorRandPaul,senatorrandpaul
Louisiana,Steve Scalise,R,LA-01,202-225-3015,https://scalise.house.gov,SteveScalise,RepSteveScalise,RepSteveScalise,stevescalise
Louisiana,Troy Carter,D,LA-02,202-225-6636,https://troycarter.house.gov,RepTroyCarter,RepTroyCarter,,
Louisiana,Clay Higgins,R,LA-03,202-225-2031,https://clayhiggins.house.gov,RepClayHiggins,CongressmanClayHiggins,,RepClayHiggins
Louisiana,Mike Johnson,R,LA-04,202-225-2777,https://mikejohnson.house.gov,RepMikeJohnson,RepMikeJohnson,,RepMikeJohnson
Louisiana,Julia Letlow,R,LA-05,202-225-8490,https://letlow.house.gov,RepJuliaLetlow,repjulialetlow,,
Louisiana,Cleo Fields,D,LA-06,202-225-3901,https://fields.house.gov,repfields,Congressman-Cleo-Fields,,repcleofields_
Louisiana,Bill Cassidy,R,Senate,202-224-5824,https://www.cassidy.senate.gov,SenBillCassidy,SenBillCassidy,SenatorBillCassidy,senbillcassidy
Louisiana,John Kennedy,R,Senate,202-224-4623,https://www.kennedy.senate.gov/public,SenJohnKennedy,JohnKennedyLouisiana,UCDgjkA5Y_npoxeUiSW18JZQ,SenJohnKennedy
Maine,Chellie Pingree,D,ME-01,202-225-6116,https://pingree.house.gov,ChelliePingree,ChelliePingree,congresswomanpingree,chelliepingree
Maine,Jared Golden,D,ME-02,202-225-6306,https://golden.house.gov,RepGolden,,,
Maine,Susan Collins,R,Senate,202-224-2523,https://www.collins.senate.gov,SenatorCollins,susancollins,SenatorSusanCollins,sensusancollins
Maine,Angus King,I,Senate,202-224-5344,https://www.king.senate.gov,SenAngusKing,SenatorAngusSKingJr,SenatorAngusKing,
Maryland,Andy Harris,R,MD-01,202-225-5311,https://harris.house.gov,RepAndyHarrisMD,AndyHarrisMD,RepAndyHarris,
Maryland,Johnny Olszewski,D,MD-02,202-225-3061,https://olszewski.house.gov,RepJohnnyO,,,repjohnnyo
Maryland,Sarah Elfreth,D,MD-03,202-225-4016,https://elfreth.house.gov,repsarahelfreth,RepSarahElfreth,,RepSarahElfreth
Maryland,Glenn Ivey,D,MD-04,202-225-8699,https://ivey.house.gov,RepGlennIvey,RepGlennIvey,,repglennivey
Maryland,Steny Hoyer,D,MD-05,202-225-4131,https://hoyer.house.gov,RepStenyHoyer,WhipHoyer,LeaderHoyer,repstenyhoyer
Maryland,April McClain Delaney,D,MD-06,202-225-2721,https://mcclaindelaney.house.gov,RepAprilDelaney,RepAprilDelaney,,repaprildelaney
Maryland,Kweisi Mfume,D,MD-07,202-225-4741,https://mfume.house.gov,RepKweisiMfume,RepKweisiMfume,UCbE6PJy-4U0DxosEW2TBQRA,repkweisimfume
Maryland,Jamie Raskin,D,MD-08,202-225-5341,https://raskin.house.gov,RepRaskin,repraskin,,repraskin
Maryland,Chris Van Hollen,D,Senate,202-224-4654,https://www.vanhollen.senate.gov,ChrisVanHollen,chrisvanhollen,RepChrisVanHollen,chrisvanhollen
Maryland,Angela Alsobrooks,D,Senate,202-224-4524,https://www.alsobrooks.senate.gov,,SenatorAlsobrooks,,sen_alsobrooks
Massachusetts,Richard Neal,D,MA-01,202-225-5601,https://neal.house.gov,RepRichardNeal,reprichardneal,RepRichardENeal,
Massachusetts,James McGovern,D,MA-02,202-225-6101,https://mcgovern.house.gov,RepMcGovern,RepJimMcGovern,repjimmcgovern,repmcgovern
Massachusetts,Lori Trahan,D,MA-03,202-225-3411,https://trahan.house.gov,RepLoriTrahan,reploritrahan,UCsRXg0BmoS4Rkjz-pqX1PmQ,reploritrahan
Massachusetts,Jake Auchincloss,D,MA-04,202-225-5931,https://auchincloss.house.gov,RepAuchincloss,RepAuchincloss,RepAuchincloss,
Massachusetts,Katherine Clark,D,MA-05,202-225-2836,https://katherineclark.house.gov,RepKClark,CongresswomanClark,,repkclark
Massachusetts,Seth Moulton,D,MA-06,202-225-8020,https://moulton.house.gov,RepMoulton,CongressmanSethMoulton,,repmoulton
Massachusetts,Ayanna Pressley,D,MA-07,202-225-5111,https://pressley.house.gov,RepPressley,RepAyannaPressley,UCkhjut8oXdxN7HGg5eRT9Fw,RepAyannaPressley
Massachusetts,Stephen Lynch,D,MA-08,202-225-8273,https://lynch.house.gov,RepStephenLynch,repstephenlynch,RepLynch,repstephenlynch
Massachusetts,William Keating,D,MA-09,202-225-3111,https://keating.house.gov,USRepKeating,Congressman.Keating,RepBillKeating,
Massachusetts,Edward Markey,D,Senate,202-224-2742,https://www.markey.senate.gov,SenMarkey,EdJMarkey,RepMarkey,senmarkeymemes
Massachusetts,Elizabeth Warren,D,Senate,202-224-4543,https://www.warren.senate.gov,SenWarren,senatorelizabethwarren,senelizabethwarren,senwarren
Michigan,Jack Bergman,R,MI-01,202-225-4735,https://bergman.house.gov,RepJackBergman,RepJackBergman,RepJackBergman,RepJackBergman
Michigan,John Moolenaar,R,MI-02,202-225-3561,https://moolenaar.house.gov,RepMoolenaar,RepMoolenaar,,RepMoolenaar
Michigan,Hillary Scholten,D,MI-03,202-225-3831,https://scholten.house.gov,RepScholten,100089476625799,,RepScholten
Michigan,Bill Huizenga,R,MI-04,202-225-4401,https://huizenga.house.gov,RepHuizenga,RepHuizenga,RepHuizenga,RepHuizenga
Michigan,Tim Walberg,R,MI-05,202-225-6276,https://walberg.house.gov,RepWalberg,RepWalberg,RepWalberg,repwalberg
Michigan,Debbie Dingell,D,MI-06,202-225-4071,https://debbiedingell.house.gov,RepDebDingell,RepDebbieDingell,,repdingell
Michigan,Tom Barrett,R,MI-07,202-225-4872,https://barrett.house.gov,reptombarrett,RepTomBarrett,,
Michigan,Kristen McDonald Rivet,D,MI-08,202-225-3611,https://mcdonaldrivet.house.gov,repkmr,repmcdonaldrivet,,repmcdonaldrivet
Michigan,Lisa McClain,R,MI-09,202-225-2106,https://mcclain.house.gov,RepLisaMcClain,RepLisaMcClain,,replisamcclain
Michigan,John James,R,MI-10,202-225-4961,https://james.house.gov,RepJames,RepJohnJames,@RepJohnJames,RepJohnJames
Michigan,Haley Stevens,D,MI-11,202-225-8171,https://stevens.house.gov,RepHaleyStevens,RepHaleyStevens,,
Michigan,Rashida Tlaib,D,MI-12,202-225-5126,https://tlaib.house.gov,RepRashida,RepRashida,UCl5GK07sD5TZIhKcsDNSExA,reprashida
Michigan,Shri Thanedar,D,MI-13,202-225-5802,https://thanedar.house.gov,RepShriThanedar,CongressmanShriThanedar,,RepShriThanedar
Michigan,Gary Peters,D,Senate,202-224-6221,https://www.peters.senate.gov,SenGaryPeters,SenGaryPeters,RepGaryPeters,sengarypeters
Michigan,Elissa Slotkin,D,Senate,202-224-4822,https://www.slotkin.senate.gov,RepSlotkin,SenElissaSlotkin,,senslotkin
Minnesota,Brad Finstad,R,MN-01,202-225-2472,https://finstad.house.gov,RepFinstad,RepFinstad,@repfinstad,repfinstad
Minnesota,Angie Craig,D,MN-02,202-225-2271,https://craig.house.gov,RepAngieCraig,RepAngieCraig,,
Minnesota,Kelly Morrison,D,MN-03,202-225-2871,https://morrison.house.gov,kellymorrisonmn,repkellymorrison,,kellymorrisonmn
Minnesota,Betty McCollum,D,MN-04,202-225-6631,https://mccollum.house.gov,BettyMcCollum04,repbettymccollum,BMcCollum04,repbettymccollum
Minnesota,Ilhan Omar,D,MN-05,202-225-4755,https://omar.house.gov,Ilhan,,,
Minnesota,Tom Emmer,R,MN-06,202-225-2331,https://emmer.house.gov,RepTomEmmer,reptomemmer,RepTomEmmer,reptomemmer
Minnesota,Michelle Fischbach,R,MN-07,202-225-2165,https://fischbach.house.gov,RepFischbach,repfischbach,UCAxs5zhFdAkGbkRnuC3osDw,repfischbach
Minnesota,Pete Stauber,R,MN-08,202-225-6211,https://stauber.house.gov,RepPeteStauber,RepPeteStauber,,
Minnesota,Amy Klobuchar,D,Senate,202-224-3244,https://www.klobuchar.senate.gov,SenAmyKlobuchar,,senatorklobuchar,
Minnesota,Tina Smith,D,Senate,202-224-5641,https://www.smith.senate.gov,SenTinaSmith,USSenTinaSmith,,senatortinasmith
Mississippi,Trent Kelly,R,MS-01,202-225-4306,https://trentkelly.house.gov,RepTrentKelly,reptrentkelly,,reptrentkelly
Mississippi,Bennie Thompson,D,MS-02,202-225-5876,https://benniethompson.house.gov,BennieGThompson,CongressmanBennieGThompson,RepBennieThompson,benniegthompson
Mississippi,Michael Guest,R,MS-03,202-225-5031,https://guest.house.gov,RepMichaelGuest,RepMichaelGuest,,
Mississippi,Mike Ezell,R,MS-04,202-225-5772,https://ezell.house.gov,RepEzell,repezell,UCseRXy2_n4j97lndfkQ_hAw,repmikeezell
Mississippi,Roger Wicker,R,Senate,202-224-6253,https://www.wicker.senate.gov,SenatorWicker,SenatorWicker,SenatorWicker,senatorwicker
Mississippi,Cindy Hyde-Smith,R,Senate,202-224-5054,https://www.hydesmith.senate.gov,SenHydeSmith,SenatorCindyHydeSmith,,sencindyhydesmith
Missouri,Wesley Bell,D,MO-01,202-225-2406,https://bell.house.gov,RepWesleyBellMO,61571538239904,,
Missouri,Ann Wagner,R,MO-02,202-225-1621,https://wagner.house.gov,RepAnnWagner,RepAnnWagner,,repannwagner
Missouri,Robert Onder,R,MO-03,202-225-2956,https://onder.house.gov,RepBobOnder,RepBobOnder,,repbobonder
Missouri,Mark Alford,R,MO-04,202-225-2876,https://alford.house.gov,RepMarkAlford,100089595940547,@RepAlford,RepMarkAlford
Missouri,Emanuel Cleaver,D,MO-05,202-225-4535,https://cleaver.house.gov,RepCleaver,emanuelcleaverii,repcleaver,repcleaver
Missouri,Sam Graves,R,MO-06,202-225-7041,https://graves.house.gov,RepSamGraves,118514606128,,repsamgraves
Missouri,Eric Burlison,R,MO-07,202-225-6536,https://burlison.house.gov,RepEricBurlison,100089208900263,UCuJFygzYhGiXMZHjhTQy20w,RepEricBurlison
Missouri,Jason Smith,R,MO-08,202-225-4404,https://jasonsmith.house.gov,RepJasonSmith,repjasonsmith,RepJasonSmith,
Missouri,Joshua Hawley,R,Senate,202-224-6154,https://www.hawley.senate.gov,SenHawleyPress,SenatorHawley,UCMzt8xq6qQ3XQ_DlNfJx0-w,senatorhawley
Missouri,Eric Schmitt,R,Senate,202-224-5721,https://www.schmitt.senate.gov,SenEricSchmitt,116059838031776,@senericschmitt,senericschmitt
Montana,Ryan Zinke,R,MT-01,202-225-5628,https://zinke.house.gov,RepRyanZinke,RepRyanZinke,,RepRyanZinke
Montana,Troy Downing,R,MT-02,202-225-3211,https://downing.house.gov,reptroydowning,reptroydowning,,reptroydowning
Montana,Steve Daines,R,Senate,202-224-2651,https://www.daines.senate.gov,SteveDaines,SteveDainesMT,SteveDainesMT,stevedaines
Montana,Tim Sheehy,R,Senate,202-224-2644,https://www.sheehy.senate.gov,,,,
Nebraska,Mike Flood,R,NE-01,202-225-4806,https://flood.house.gov,USRepMikeFlood,Congressman-Mike-Flood-101986952582058,,
Nebraska,Don Bacon,R,NE-02,202-225-4155,https://bacon.house.gov,RepDonBacon,RepDonBacon,,RepDonBacon
Nebraska,Adrian Smith,R,NE-03,202-225-6435,https://adriansmith.house.gov,RepAdrianSmith,repadriansmith,RepAdrianSmith,RepAdrianSmith
Nebraska,Deb Fischer,R,Senate,202-224-6551,https://www.fischer.senate.gov,SenatorFischer,senatordebfischer,senatordebfischer,senatorfischer
Nebraska,Pete Ricketts,R,Senate,202-224-4224,https://www.ricketts.senate.gov,SenatorRicketts,SenatorRicketts,@SenatorRicketts,SenatorRicketts
Nevada,Dina Titus,D,NV-01,202-225-5965,https://titus.house.gov,RepDinaTitus,CongresswomanTitus,CongresswomanTitus,dinatitusnv
Nevada,Mark Amodei,R,NV-02,202-225-6155,https://amodei.house.gov,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,MarkAmodeiNV2
Nevada,Susie Lee,D,NV-03,202-225-3252,https://susielee.house.gov,RepSusieLee,RepSusieLee,,repsusielee
Nevada,Steven Horsford,D,NV-04,202-225-9894,https://horsford.house.gov,RepHorsford,,UCNEpy5bPXiyAavRzYnPlhDQ,rephorsford
Nevada,Catherine Cortez Masto,D,Senate,202-224-3542,https://www.cortezmasto.senate.gov,SenCortezMasto,SenatorCortezMasto,,sencortezmasto
Nevada,Jacky Rosen,D,Senate,202-224-6244,https://www.rosen.senate.gov,SenJackyRosen,RepJackyRosen,,repjackyrosen
New Hampshire,Chris Pappas,D,NH-01,202-225-5456,https://pappas.house.gov,RepChrisPappas,,,
New Hampshire,Maggie Goodlander,D,NH-02,202-225-5206,https://goodlander.house.gov,RepGoodlander,61571606604866,,repgoodlander
New Hampshire,Jeanne Shaheen,D,Senate,202-224-2841,https://www.shaheen.senate.gov,SenatorShaheen,SenatorShaheen,senatorshaheen,senatorshaheen
New Hampshire,Margaret Hassan,D,Senate,202-224-3324,https://www.hassan.senate.gov,SenatorHassan,SenatorHassan,,senatorhassan
New Jersey,Donald Norcross,D,NJ-01,202-225-6501,https://norcross.house.gov,DonaldNorcross,DonaldNorcrossNJ,,donald_norcross
New Jersey,Jefferson Van Drew,R,NJ-02,202-225-6572,https://vandrew.house.gov,Congressman_JVD,CongressmanJVD,UCc5AGO_bQLeiv313Bbr35fg,jeffvandrew
New Jersey,Herbert Conaway,D,NJ-03,202-225-4765,https://conaway.house.gov,RepHerbConaway,,,
New Jersey,Christopher Smith,R,NJ-04,202-225-3765,https://chrissmith.house.gov,,RepChrisSmith,USRepChrisSmith,repchrissmith
New Jersey,Josh Gottheimer,D,NJ-05,202-225-4465,https://gottheimer.house.gov,RepJoshG,RepJoshG,,RepJoshG
New Jersey,Frank Pallone,D,NJ-06,202-225-4671,https://pallone.house.gov,FrankPallone,repfrankpallone,repfrankpallone,repfrankpallone
New Jersey,Thomas Kean,R,NJ-07,202-225-5361,https://kean.house.gov,CongressmanKean,CongressmanKean,,congressmankean
New Jersey,Robert Menendez,D,NJ-08,202-225-7919,https://menendez.house.gov,RepMenendez,repmenendez,,repmenendez
New Jersey,Nellie Pou,D,NJ-09,202-225-5751,https://pou.house.gov,caohouse,CAOHouseofReps,,housecreativeservices
New Jersey,LaMonica McIver,D,NJ-10,202-225-3436,https://mciver.house.gov,RepLaMonica,RepLaMonica,,replamonica
New Jersey,Mikie Sherrill,D,NJ-11,202-225-5034,https://sherrill.house.gov,RepSherrill,RepMikieSherrill,,
New Jersey,Bonnie Watson Coleman,D,NJ-12,202-225-5801,https://watsoncoleman.house.gov,RepBonnie,RepBonnie,,repbonnie
New Jersey,Cory Booker,D,Senate,202-224-3224,https://www.booker.senate.gov,SenBooker,SenatorCoryBooker,SenCoryBooker,corybooker
New Jersey,Andy Kim,D,Senate,202-224-4744,https://www.kim.senate.gov,,SenatorAndyKim,,SenatorAndyKim
New Mexico,Melanie Stansbury,D,NM-01,202-225-6316,https://stansbury.house.gov,Rep_Stansbury,RepStansbury,,
New Mexico,Gabriel (Gabe) Vasquez,D,NM-02,202-225-2365,https://vasquez.house.gov,RepGabeVasquez,100089328694464,,RepGabeVasquez
New Mexico,Teresa Leger Fernandez,D,NM-03,202-225-6190,https://fernandez.house.gov,RepTeresaLF,RepTeresaLF,@rep.teresalegerfernandez8059,repteresalf
New Mexico,Martin Heinrich,D,Senate,202-224-5521,https://www.heinrich.senate.gov,MartinHeinrich,MartinHeinrich,SenMartinHeinrich,senatormartinheinrich
New Mexico,Ben Luján,D,Senate,202-224-6621,https://www.lujan.senate.gov,SenatorLujan,SenatorLujan,,senatorlujan
New York,Nicolas LaLota,R,NY-01,202-225-3826,https://lalota.house.gov,RepLaLota,replalota,,replalota
New York,Andrew Garbarino,R,NY-02,202-225-7896,https://garbarino.house.gov,RepGarbarino,RepAndrewGarbarino,,
New York,Thomas Suozzi,D,NY-03,202-225-3335,https://suozzi.house.gov,reptomsuozzi,RepTomSuozzi,,
New York,Laura Gillen,D,NY-04,202-225-5516,https://gillen.house.gov,RepLauraGillen,replauragillen,,replauragillen
New York,Gregory Meeks,D,NY-05,202-225-3461,https://meeks.house.gov,RepGregoryMeeks,gregorymeeksny05,gwmeeks,repgregorymeeks
New York,Grace Meng,D,NY-06,202-225-2601,https://meng.house.gov,RepGraceMeng,repgracemeng,,
New York,Nydia Velázquez,D,NY-07,202-225-2361,https://velazquez.house.gov,NydiaVelazquez,8037068318,nydiavelazquez,
New York,Hakeem Jeffries,D,NY-08,202-225-5936,https://jeffries.house.gov,RepJeffries,RepHakeemJeffries,,repjeffries
New York,Yvette Clarke,D,NY-09,202-225-6231,https://clarke.house.gov,RepYvetteClarke,repyvettedclarke,repyvetteclarke,repyvettedclarke
New York,Dan Goldman,D,NY-10,202-225-7944,https://goldman.house.gov,RepDanGoldman,RepDanGoldman,,repdangoldman
New York,Nicole Malliotakis,R,NY-11,202-225-3371,https://malliotakis.house.gov,RepMalliotakis,RepNicole,,
New York,Jerrold Nadler,D,NY-12,202-225-5635,https://nadler.house.gov,RepJerryNadler,CongressmanNadler,congressmannadler,
New York,Adriano Espaillat,D,NY-13,202-225-4365,https://espaillat.house.gov,RepEspaillat,RepEspaillat,,repadrianoespaillat
New York,Alexandria Ocasio-Cortez,D,NY-14,202-225-3965,https://ocasio-cortez.house.gov,RepAOC,repaoc,,
New York,Ritchie Torres,D,NY-15,202-225-4361,https://ritchietorres.house.gov,RepRitchie,RepRitchie,@RepRitchie,repritchie
New York,George Latimer,D,NY-16,202-225-2464,https://latimer.house.gov,RepGLatimer,61571201977917,,repglatimer
New York,Michael Lawler,R,NY-17,202-225-6506,https://lawler.house.gov,RepMikeLawler,RepMikeLawler,@RepMikeLawler,RepMikeLawler
New York,Patrick Ryan,D,NY-18,202-225-5614,https://patryan.house.gov,RepPatRyanNY,,,
New York,Josh Riley,D,NY-19,202-225-5441,https://riley.house.gov,,RepRileyNY,,RepRileyNY
New York,Paul Tonko,D,NY-20,202-225-5076,https://tonko.house.gov,RepPaulTonko,reppaultonko,reppaultonko,reppaultonko
New York,Elise Stefanik,R,NY-21,202-225-4611,https://stefanik.house.gov,RepStefanik,RepEliseStefanik,,repstefanik
New York,John Mannion,D,NY-22,202-225-3701,https://mannion.house.gov,JohnMannionNY22,CongressmanJohnMannion,,congressmannion
New York,Nicholas Langworthy,R,NY-23,202-225-3161,https://langworthy.house.gov,RepLangworthy,RepLangworthy,,replangworthy
New York,Claudia Tenney,R,NY-24,202-225-3665,https://tenney.house.gov,RepTenney,RepClaudiaTenney,,
New York,Joseph Morelle,D,NY-25,202-225-3615,https://morelle.house.gov,RepJoeMorelle,RepJoeMorelle,,
New York,Timothy Kennedy,D,NY-26,202-225-3306,https://kennedy.house.gov,reptimkennedy,reptimkennedy,@reptimkennedy,reptimkennedy
New York,Kirsten Gillibrand,D,Senate,202-224-4451,https://www.gillibrand.senate.gov,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,senkirstengillibrand
New York,Charles Schumer,D,Senate,202-224-6542,https://www.schumer.senate.gov,SenSchumer,senschumer,SenatorSchumer,senschumer
North Carolina,Donald Davis,D,NC-01,202-225-3101,https://dondavis.house.gov,RepDonDavis,RepDonDavis,,RepDonDavis
North Carolina,Deborah Ross,D,NC-02,202-225-3032,https://ross.house.gov,RepDeborahRoss,RepDeborahRoss,,repdeborahross
North Carolina,Gregory Murphy,R,NC-03,202-225-3415,https://murphy.house.gov,RepGregMurphy,RepGregMurphy,,repgregmurphy
North Carolina,Valerie Foushee,D,NC-04,202-225-1784,https://foushee.house.gov,ValerieFoushee,RepValerieFoushee,@RepValerieFoushee,repvaleriefoushee
North Carolina,Virginia Foxx,R,NC-05,202-225-2071,https://foxx.house.gov,VirginiaFoxx,RepVirginiaFoxx,repvirginiafoxx,repvirginiafoxx
North Carolina,Addison McDowell,R,NC-06,202-225-3065,https://mcdowell.house.gov,RepMcDowell,RepMcDowell,,repmcdowell
North Carolina,David Rouzer,R,NC-07,202-225-2731,https://rouzer.house.gov,RepDavidRouzer,RepRouzer,,repdavidrouzer
North Carolina,Mark Harris,R,NC-08,202-225-1976,https://markharris.house.gov,RepMarkHarrisNC,RepMarkHarris,,repmarkharris
North Carolina,Richard Hudson,R,NC-09,202-225-3715,https://hudson.house.gov,RepRichHudson,RepRichHudson,RepRichHudson,
